Infections,StayLength,Age,Beds,MedSchool,Region,Nurses
8.487,7.13,55.7,279,No,W,241
0.816,8.82,58.2,80,No,NC,52
2.214,8.34,56.9,107,No,S,54
2.968,8.95,53.7,147,No,W,148
7.638,11.2,56.5,180,No,NE,151
7.497,9.76,50.9,150,No,NC,106
6.946,9.68,57.8,186,No,S,129
21.546,11.18,45.7,640,Yes,NC,360
5.59,8.67,48.2,182,No,S,118
3.717,8.84,56.3,85,No,NE,66
28.959,11.07,53.2,768,Yes,NE,656
4.515,8.3,57.2,167,No,S,59
19.404,12.78,56.8,322,Yes,NE,349
2.183,7.58,56.7,97,No,NC,79
2.562,9,56.3,72,No,S,38
17.93,11.08,50.2,387,No,S,405
3.78,8.28,48.1,108,No,W,73
7.232,11.62,53.9,133,No,NE,101
4.326,9.06,52.8,134,No,NC,125
22.427,9.35,53.8,833,No,S,519
1.974,7.53,42,95,No,W,49
7.824,10.24,49,195,No,NC,170
12,9.78,52.3,270,Yes,NE,198
22.464,9.84,62.2,600,No,S,497
9.76,9.2,52.2,298,Yes,W,236
16.107,8.28,49.5,546,Yes,NC,436
5.58,9.31,47.2,170,No,NE,173
4.992,8.19,52.1,176,No,NE,88
9.548,11.65,54.5,248,No,NE,189
5.537,9.89,50.5,167,No,NC,106
13.5,11.03,49.9,318,No,NE,335
10.4,9.84,53,210,No,NC,239
8.692,11.77,54.1,196,No,NE,165
15.738,13.59,54,312,No,NE,169
10.71,9.74,54.4,221,No,NC,172
9.05,10.33,55.8,266,No,NE,149
1.932,9.97,58.2,90,No,NC,42
2.3,7.84,49.1,60,No,S,45
6.888,10.47,53.2,196,No,NC,153
0.637,8.16,60.9,73,No,S,21
5.365,8.48,51.1,166,No,S,118
4.23,10.72,53.8,113,No,S,107
2.85,11.2,45,130,No,S,56
17.528,10.12,51.7,362,Yes,S,264
5.28,8.37,50.7,115,No,NC,88
26.726,10.16,54.2,831,Yes,W,629
17.745,19.56,59.9,306,No,NE,172
24.53,10.9,57.2,593,No,NC,211
1.674,7.67,51.7,106,No,S,35
9.996,8.88,51.5,305,No,S,197
11.592,11.48,57.6,252,No,NE,251
17.759,9.23,51.6,620,No,NC,420
25.08,11.41,61.1,535,No,S,273
8.97,12.07,43.7,157,No,NC,76
1.209,8.63,54,76,No,NE,44
8.463,11.15,56.5,281,No,NE,199
1.369,7.14,59,70,No,W,35
11.395,7.65,47.1,318,No,W,314
14.586,10.73,50.6,445,Yes,NC,345
6.885,11.46,56.9,191,No,S,132
2.278,10.42,58,119,No,NE,64
31.122,11.18,51,595,Yes,NC,392
2.268,7.93,64.1,68,No,W,49
2.904,9.66,52.1,83,No,NC,95
19.55,7.78,45.5,489,No,S,329
18.103,9.42,50.6,508,No,NE,528
8.404,10.02,49.5,265,No,NC,202
9.176,8.58,55,304,No,S,218
18.18,9.61,52.4,487,No,S,220
2.275,8.03,54.2,97,No,NE,55
1.596,7.39,51,72,No,NC,67
1.04,7.08,52,87,No,S,57
12.532,9.53,51.5,298,No,S,193
6.48,10.05,52,184,Yes,NE,151
4.862,8.45,38.8,235,No,NC,124
2.295,6.7,48.6,76,No,W,79
1.073,8.9,49.7,52,No,NE,35
29.155,10.23,53.2,752,Yes,NC,446
7.26,8.88,55.8,237,No,NC,182
5.763,10.3,59.6,175,No,NC,73
9.28,10.79,44.2,461,Yes,NC,196
4.865,7.94,49.5,195,No,NC,116
5.995,7.63,52.1,197,No,W,110
3.995,8.77,54.5,143,No,W,87
1.037,8.09,56.9,92,No,S,61
5.207,9.05,51.2,195,No,S,112
10.121,7.91,52.8,477,No,S,188
9.589,10.39,54.6,353,No,NC,200
6.096,9.36,54.1,165,No,NE,158
20.822,11.41,50.4,424,Yes,S,335
1.885,8.86,51.3,100,No,S,53
1.18,8.93,56,95,No,S,56
0.52,8.92,53.9,56,No,NC,14
2.915,8.15,54.9,99,No,W,71
6.519,9.77,50.2,154,No,NC,148
1.425,8.54,56.1,98,No,NE,75
6.764,8.66,52.8,246,No,S,177
11.376,12.01,52.8,298,No,NE,115
2.944,7.95,51.8,163,No,S,93
28.024,10.15,51.9,568,Yes,S,371
1.222,9.76,53.2,64,No,W,55
6.063,9.89,45.2,190,No,NE,112
1.08,7.14,57.6,92,No,W,50
20.328,13.95,65.9,356,No,NE,182
10.35,9.44,52.5,297,No,S,263
2.001,10.8,63.9,130,No,S,62
1.26,7.14,51.7,115,No,S,19
0.924,8.02,55,91,No,NC,32
25.137,11.8,53.8,571,Yes,NC,469
3.944,9.5,49.3,98,No,S,46
3.74,7.7,56.9,129,No,W,136
46.669,17.94,56.2,835,Yes,NE,407
0.62,9.41,59.5,29,No,S,22
